Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2015-02-12,2015,2,12,Thursday,06,2015-06,478.59,478.59,472.77,475.61,29900.0,457.64,0.0016848374118203502,443.30857142857155,438.4437931034483
2015-02-13,2015,2,13,Friday,06,2015-06,478.66,478.66,470.45,475.43,46700.0,457.46,-0.0003784391196819392,444.51285714285723,439.0776666666667
2015-02-17,2015,2,17,Tuesday,07,2015-07,472.93,479.03,471.37,474.25,55400.0,456.33,-0.0024818994255687565,445.8657142857143,439.6341935483871
2015-02-18,2015,2,18,Wednesday,07,2015-07,472.75,479.38,470.74,475.04,57200.0,457.09,0.0016657607125507568,447.67500000000007,440.1796875
2015-02-19,2015,2,19,Thursday,07,2015-07,471.82,478.49,471.82,478.37,22800.0,460.29,0.007009957913813425,449.6857142857143,440.78909090909093
2015-02-20,2015,2,20,Friday,07,2015-07,475.93,482.61,473.02,480.86,40400.0,462.69,0.005205123972092718,452.3507142857143,441.4332352941177
2015-02-23,2015,2,23,Monday,08,2015-08,482.57,483.18,477.1,480.53,41900.0,462.37,-0.0006862850758949657,454.4107142857143,442.03142857142865
2015-02-24,2015,2,24,Tuesday,08,2015-08,478.57,484.75,476.8,477.51,36800.0,459.46,-0.006284695470569424,455.61785714285713,442.5155555555556
2015-02-25,2015,2,25,Wednesday,08,2015-08,480.0,483.06,469.01,476.51,26500.0,458.5,-0.00209422150287919,456.4871428571428,442.9475675675676
2015-02-26,2015,2,26,Thursday,08,2015-08,474.25,482.56,474.25,477.65,72000.0,459.6,0.0023924094646339267,457.02714285714285,443.3857894736842
2015-02-27,2015,2,27,Friday,08,2015-08,477.1,477.61,471.66,472.54,59400.0,454.68,-0.010698182644928389,457.3692857142857,443.67538461538464
2015-03-02,2015,3,2,Monday,09,2015-09,470.27,473.09,468.42,473.02,38600.0,455.14,0.0010157720525361125,457.8364285714286,443.962
2015-03-03,2015,3,3,Tuesday,09,2015-09,472.58,481.15,472.54,474.0,40800.0,456.09,0.0020717914388124203,458.15785714285715,444.2578048780488
2015-03-04,2015,3,4,Wednesday,09,2015-09,472.0,472.0,466.37,466.38,37600.0,448.75,-0.016075896726975403,457.57785714285717,444.3647619047619
2015-03-05,2015,3,5,Thursday,09,2015-09,467.3,470.18,466.18,468.39,32000.0,450.69,0.0043097521283881335,457.08142857142855,444.51186046511623
2015-03-06,2015,3,6,Friday,09,2015-09,468.0,474.49,466.62,468.39,60600.0,450.69,0.0,456.5978571428571,444.65227272727265
2015-03-09,2015,3,9,Monday,10,2015-10,470.95,474.68,468.38,471.75,50600.0,453.92,0.0071735389720752885,456.4257142857142,444.85822222222214
2015-03-10,2015,3,10,Tuesday,10,2015-10,466.8,467.5,458.17,459.09,62800.0,441.74,-0.02683630556838923,455.3292857142856,444.79043478260866
2015-03-11,2015,3,11,Wednesday,10,2015-10,461.98,472.22,459.52,464.55,61100.0,446.99,0.01189310793593723,454.37928571428563,444.8372340425532
2015-03-12,2015,3,12,Thursday,10,2015-10,468.69,477.01,466.71,475.74,71900.0,457.76,0.02408778808623424,454.0271428571428,445.10645833333325
2015-03-13,2015,3,13,Friday,10,2015-10,470.8,476.67,466.59,476.67,58800.0,458.66,0.00195494558432574,453.7621428571428,445.3830612244897
2015-03-16,2015,3,16,Monday,11,2015-11,476.84,486.43,474.06,485.24,63700.0,466.9,0.017978831916205973,454.29357142857134,445.81339999999994
2015-03-17,2015,3,17,Tuesday,11,2015-11,483.44,487.6,479.54,487.19,100900.0,468.78,0.004018644344975231,455.02785714285704,446.29619999999994
2015-03-18,2015,3,18,Wednesday,11,2015-11,486.45,494.36,479.79,492.54,68600.0,473.93,0.01098137279659217,456.05142857142846,447.07419999999996
2015-03-19,2015,3,19,Thursday,11,2015-11,492.7,492.7,485.94,486.65,29300.0,468.26,-0.011958514076822913,457.02142857142843,447.7899999999999
2015-03-20,2015,3,20,Friday,11,2015-11,489.35,494.18,488.4,493.12,78200.0,474.48,0.01329499539034873,458.40285714285704,448.59759999999994
2015-03-23,2015,3,23,Monday,12,2015-12,496.02,497.96,489.7,490.49,43800.0,471.95,-0.005333327844914804,459.53571428571416,449.28079999999994
2015-03-24,2015,3,24,Tuesday,12,2015-12,490.0,491.62,485.49,489.76,37000.0,471.25,-0.0014883314670725012,461.142857142857,449.96759999999995
2015-03-25,2015,3,25,Wednesday,12,2015-12,492.27,492.27,482.9,483.05,41400.0,464.79,-0.013700664268351592,462.1499999999999,450.56679999999994
2015-03-26,2015,3,26,Thursday,12,2015-12,483.4,485.56,479.32,481.92,32200.0,463.71,-0.0023392051692449067,463.0799999999999,451.20659999999987
2015-03-27,2015,3,27,Friday,12,2015-12,480.62,486.41,480.0,483.53,57800.0,465.26,0.0033407569451573416,463.88999999999993,451.9861999999999
2015-03-30,2015,3,30,Monday,13,2015-13,486.0,491.74,484.55,490.0,43400.0,471.48,0.013380781582946089,466.0142857142856,452.9365999999999
2015-03-31,2015,3,31,Tuesday,13,2015-13,488.38,490.93,485.26,487.0,66800.0,468.6,-0.0061224559806684065,467.55785714285713,453.5843999999999
2015-04-01,2015,4,1,Wednesday,13,2015-13,486.6,491.97,484.95,489.43,41800.0,470.93,0.004989732939192804,468.4985714285714,454.3993999999999
2015-04-02,2015,4,2,Thursday,13,2015-13,488.36,493.64,486.91,487.94,37900.0,469.5,-0.003044348048837908,469.2728571428571,455.21679999999986
2015-04-06,2015,4,6,Monday,14,2015-14,487.02,493.86,484.72,490.32,48800.0,471.79,0.0048776150230542825,469.6221428571429,455.8797999999999
2015-04-07,2015,4,7,Tuesday,14,2015-14,490.02,492.52,480.5,483.01,107500.0,464.76,-0.01490859276638834,469.33500000000004,456.43179999999984
2015-04-08,2015,4,8,Wednesday,14,2015-14,483.16,485.74,481.98,484.7,39500.0,466.38,0.003498887362355152,468.7957142857143,456.9473999999999
2015-04-09,2015,4,9,Thursday,14,2015-14,486.31,487.27,480.8,483.59,68800.0,465.31,-0.002290083528699527,468.58500000000004,457.50579999999997
2015-04-10,2015,4,10,Friday,14,2015-14,486.45,486.9,482.64,485.88,51400.0,467.52,0.004735425954853767,468.0878571428572,458.221
2015-04-13,2015,4,13,Monday,15,2015-15,484.21,491.23,483.52,484.43,53900.0,466.12,-0.0029842782623090702,467.6714285714287,458.9006
2015-04-14,2015,4,14,Tuesday,15,2015-15,487.7,489.2,480.44,487.64,74700.0,469.21,0.006626402335120796,467.5257142857144,459.77719999999994
2015-04-15,2015,4,15,Wednesday,15,2015-15,488.72,491.89,485.52,485.53,76500.0,467.18,-0.004327058473077572,467.6964285714287,460.4502
2015-04-16,2015,4,16,Thursday,15,2015-15,486.51,488.21,480.37,482.53,73400.0,464.29,-0.006178822191292621,467.73785714285725,460.8848
2015-04-17,2015,4,17,Friday,15,2015-15,479.2,479.2,471.45,476.91,34600.0,458.89,-0.011646910291526424,467.28285714285727,461.1359999999999
2015-04-20,2015,4,20,Monday,16,2015-16,479.71,479.71,474.91,476.95,39000.0,458.93,8.392745369434351e-05,466.38642857142867,461.2737999999999
2015-04-21,2015,4,21,Tuesday,16,2015-16,480.66,480.66,471.99,472.97,50200.0,455.1,-0.008344694507761541,465.422142857143,461.3779999999999
2015-04-22,2015,4,22,Wednesday,16,2015-16,473.0,473.39,467.24,471.13,58000.0,453.33,-0.0038903421744206357,464.1650000000001,461.47259999999994
2015-04-23,2015,4,23,Thursday,16,2015-16,471.51,478.69,468.44,475.27,47600.0,457.31,0.008787338294550029,463.2942857142858,461.587
2015-04-24,2015,4,24,Friday,16,2015-16,477.41,478.59,475.0,477.0,30800.0,458.97,0.003640085639809776,462.37857142857155,461.629
2015-04-27,2015,4,27,Monday,17,2015-17,477.12,479.95,475.05,476.0,49500.0,458.01,-0.002096394101079868,461.8964285714287,461.6364
2015-04-28,2015,4,28,Tuesday,17,2015-17,476.32,479.95,475.08,478.43,61000.0,460.35,0.005104974945204566,461.46571428571445,461.69419999999997
2015-04-29,2015,4,29,Wednesday,17,2015-17,476.4,478.99,474.0,477.69,48800.0,459.64,-0.0015467306289589366,461.0607142857144,461.76039999999995
2015-04-30,2015,4,30,Thursday,17,2015-17,475.49,479.44,471.75,473.52,60500.0,455.62,-0.008729473755707429,460.21071428571446,461.73099999999994
2015-05-01,2015,5,1,Friday,17,2015-17,477.31,477.5,475.33,475.85,27000.0,457.87,0.004920591957982889,459.62142857142874,461.68259999999987
2015-05-04,2015,5,4,Monday,18,2015-18,476.44,481.57,476.21,481.45,114200.0,463.26,0.011768418772442946,459.1964285714288,461.69399999999985
2015-05-05,2015,5,5,Tuesday,18,2015-18,480.78,483.14,472.55,474.66,55500.0,456.72,-0.014103282746619317,458.4492857142859,461.5809999999999
2015-05-06,2015,5,6,Wednesday,18,2015-18,473.52,477.97,470.02,477.97,42500.0,459.91,0.006973474417163228,458.1364285714288,461.5899999999999
2015-05-07,2015,5,7,Thursday,18,2015-18,475.64,481.93,474.75,481.9,56800.0,463.69,0.008222177011639742,458.4792857142858,461.6937999999999
2015-05-08,2015,5,8,Friday,18,2015-18,484.0,484.95,478.8,480.5,56300.0,462.34,-0.0029051354575925226,458.72285714285726,461.74859999999995
2015-05-11,2015,5,11,Monday,19,2015-19,479.0,485.04,477.06,483.98,125800.0,465.69,0.00724251446552393,459.47928571428577,461.9687999999999
2015-05-12,2015,5,12,Tuesday,19,2015-19,482.13,485.02,479.0,481.81,54400.0,463.6,-0.004483702214281737,460.2128571428572,462.13799999999986
2015-05-13,2015,5,13,Wednesday,19,2015-19,481.9,484.35,479.29,480.25,43200.0,462.1,-0.0032377761705704167,460.5550000000001,462.2581999999999
2015-05-14,2015,5,14,Thursday,19,2015-19,482.02,487.73,480.02,487.71,122100.0,469.28,0.015533573436454118,461.29142857142864,462.6687999999998
2015-05-15,2015,5,15,Friday,19,2015-19,486.41,486.86,480.13,481.0,41600.0,462.82,-0.013758187709740799,461.63500000000005,462.91139999999984
2015-05-18,2015,5,18,Monday,20,2015-20,479.29,487.17,478.46,487.13,60000.0,468.72,0.012744307041286262,462.23285714285714,463.2719999999999
2015-05-19,2015,5,19,Tuesday,20,2015-20,487.5,489.57,485.84,488.05,72800.0,469.61,0.0018885308439746673,462.945,463.58579999999995
2015-05-20,2015,5,20,Wednesday,20,2015-20,487.79,506.95,485.91,497.62,316100.0,478.81,0.01960867648143516,464.6014285714286,464.32719999999995
2015-05-21,2015,5,21,Thursday,20,2015-20,498.01,499.35,490.53,490.53,79200.0,471.99,-0.014247751433513312,465.61,464.82719999999995
2015-05-22,2015,5,22,Friday,20,2015-20,490.15,491.56,482.92,486.73,87700.0,468.34,-0.007746748884505106,465.97285714285715,465.0388
2015-05-26,2015,5,26,Tuesday,21,2015-21,486.8,490.3,479.06,480.64,86300.0,462.48,-0.01251204108424786,466.38428571428574,465.11519999999996
2015-05-27,2015,5,27,Wednesday,21,2015-21,481.25,486.6,480.55,483.53,75200.0,465.26,0.006012774374072993,466.7664285714286,465.0823999999999
2015-05-28,2015,5,28,Thursday,21,2015-21,480.92,484.02,477.42,480.41,106800.0,462.25,-0.0064525176638753345,466.6635714285715,464.95179999999993
2015-05-29,2015,5,29,Friday,21,2015-21,480.9,481.66,475.13,475.35,238600.0,457.39,-0.010532608444492886,466.31000000000006,464.6209999999999
2015-06-01,2015,6,1,Monday,22,2015-22,476.84,479.93,473.35,479.02,103000.0,460.92,0.0077205766816339505,465.96928571428583,464.4741999999999
2015-06-02,2015,6,2,Tuesday,22,2015-22,478.61,481.58,473.01,479.57,74900.0,461.45,0.0011481578492258393,465.81571428571436,464.21359999999993
2015-06-03,2015,6,3,Wednesday,22,2015-22,480.57,482.6,477.85,481.87,86100.0,463.66,0.004795953088042149,465.9271428571429,464.04779999999994
2015-06-04,2015,6,4,Thursday,22,2015-22,478.28,485.6,474.13,474.75,60100.0,456.81,-0.01477570565693842,465.03642857142864,463.75899999999996
2015-06-05,2015,6,5,Friday,22,2015-22,475.58,478.54,473.92,478.5,46700.0,460.42,0.007898886028326002,464.8650000000001,463.6715999999999
2015-06-08,2015,6,8,Monday,23,2015-23,476.97,477.52,471.74,471.74,45400.0,453.91,-0.014127527212463131,463.80714285714294,463.47559999999993
2015-06-09,2015,6,9,Tuesday,23,2015-23,472.16,473.65,469.73,473.31,70200.0,455.42,0.003328069487073426,462.7935714285715,463.2787999999999
2015-06-10,2015,6,10,Wednesday,23,2015-23,475.15,479.75,475.03,476.87,59800.0,458.85,0.0075215322842034915,461.36785714285725,463.0261999999999
2015-06-11,2015,6,11,Thursday,23,2015-23,476.85,483.21,476.39,482.0,51100.0,463.78,0.010757581955015194,460.78142857142865,462.9297999999999
2015-06-12,2015,6,12,Friday,23,2015-23,477.47,481.98,477.11,480.53,47000.0,462.37,-0.003049756071497267,460.3550000000001,462.7585999999999
2015-06-15,2015,6,15,Monday,24,2015-24,481.8,482.9,477.81,480.04,59800.0,461.9,-0.0010196731778828738,460.3135714285715,462.6065999999999
2015-06-16,2015,6,16,Tuesday,24,2015-24,481.23,485.0,481.14,482.76,69900.0,464.52,0.005666221179316144,460.2607142857144,462.4611999999999
2015-06-17,2015,6,17,Wednesday,24,2015-24,484.45,485.0,481.28,482.94,60800.0,464.69,0.0003728341538422608,460.43500000000006,462.45979999999986
2015-06-18,2015,6,18,Thursday,24,2015-24,484.76,486.21,482.43,485.45,68800.0,467.1,0.005197308451085236,461.1285714285715,462.4741999999998
2015-06-19,2015,6,19,Friday,24,2015-24,485.0,486.65,481.02,481.19,73500.0,463.0,-0.008775348376744097,461.2771428571429,462.4279999999998
2015-06-22,2015,6,22,Monday,25,2015-25,483.94,484.78,482.0,484.78,55900.0,466.46,0.007460645754413298,461.6350000000001,462.4067999999998
2015-06-23,2015,6,23,Tuesday,25,2015-25,486.79,486.94,484.66,486.41,70500.0,468.03,0.0033623959383795032,461.9471428571429,462.44499999999977
2015-06-24,2015,6,24,Wednesday,25,2015-25,484.42,485.27,477.39,477.39,69800.0,459.35,-0.018544008709255544,462.1285714285715,462.24779999999976
2015-06-25,2015,6,25,Thursday,25,2015-25,479.0,479.0,472.46,473.03,42900.0,455.15,-0.009133047447533515,461.7521428571429,462.0071999999998
